,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,4461.0,4650.0,4983.0,4983.0
1,4127.0,4478.0,4631.0,4631.0
2,4294.0,4588.0,4918.0,4918.0
3,4191.0,4416.0,4644.0,4644.0
4,4450.0,4642.0,4984.0,4984.0
5,4256.0,4535.0,4892.0,4892.0
6,4104.0,4392.0,4614.0,4614.0
7,4347.0,4614.0,4938.0,4938.0
8,4055.0,4394.0,4580.0,4580.0
9,4321.0,4570.0,4927.0,4927.0
10,4132.0,4483.0,4639.0,4639.0
11,4291.0,4588.0,4906.0,4906.0
12,4167.0,4446.0,4653.0,4653.0
13,4230.0,4479.0,4674.0,4674.0
14,4399.0,4639.0,4960.0,4960.0
15,4438.0,4660.0,4972.0,4972.0
16,4184.0,4469.0,4664.0,4664.0
17,4439.0,4637.0,4967.0,4967.0
18,4190.0,4433.0,4655.0,4655.0
19,4221.0,4503.0,4677.0,4677.0
20,4251.0,4485.0,4884.0,4884.0
21,4455.0,4659.0,4977.0,4977.0
22,4291.0,4513.0,4906.0,4906.0
23,4334.0,4559.0,4727.0,4727.0
24,4302.0,4524.0,4917.0,4917.0
25,4569.0,4749.0,5034.0,5034.0
26,4319.0,4577.0,4913.0,4913.0
27,4190.0,4460.0,4658.0,4658.0
28,4112.0,4445.0,4637.0,4637.0
29,4274.0,4598.0,4901.0,4901.0
30,4156.0,4402.0,4642.0,4642.0
31,4247.0,4538.0,4883.0,4883.0
32,4002.0,4347.0,4566.0,4566.0
33,4395.0,4617.0,4956.0,4956.0
34,4301.0,4541.0,4712.0,4712.0
35,4188.0,4479.0,4662.0,4662.0
36,4252.0,4501.0,4891.0,4891.0
37,4358.0,4595.0,4946.0,4946.0
38,4183.0,4495.0,4660.0,4660.0
39,4334.0,4547.0,4928.0,4928.0
40,4349.0,4592.0,4931.0,4931.0
41,4394.0,4610.0,4952.0,4952.0
42,4309.0,4534.0,4924.0,4924.0
43,4221.0,4524.0,4875.0,4875.0
44,4302.0,4557.0,4902.0,4902.0
45,4201.0,4468.0,4663.0,4663.0
46,4243.0,4528.0,4891.0,4891.0
47,4080.0,4437.0,4605.0,4605.0
48,4306.0,4528.0,4717.0,4717.0
49,4260.0,4530.0,4689.0,4689.0
50,4204.0,4504.0,4870.0,4870.0
51,4342.0,4606.0,4930.0,4930.0
52,4372.0,4606.0,4945.0,4945.0
53,4321.0,4570.0,4921.0,4921.0
54,4493.0,4667.0,4997.0,4997.0
55,4170.0,4464.0,4845.0,4845.0
56,4266.0,4497.0,4689.0,4689.0
57,4353.0,4551.0,4929.0,4929.0
58,4155.0,4470.0,4842.0,4842.0
59,4302.0,4536.0,4914.0,4914.0
60,4078.0,4369.0,4600.0,4600.0
61,4295.0,4559.0,4907.0,4907.0
62,4078.0,4429.0,4609.0,4609.0
63,3946.0,4336.0,4543.0,4543.0
64,4401.0,4659.0,4962.0,4962.0
65,4051.0,4363.0,4591.0,4591.0
66,4241.0,4532.0,4889.0,4889.0
67,4079.0,4379.0,4601.0,4601.0
68,4420.0,4666.0,4975.0,4975.0
69,4222.0,4477.0,4666.0,4666.0
70,4357.0,4603.0,4951.0,4951.0
71,4159.0,4408.0,4639.0,4639.0
72,4274.0,4493.0,4889.0,4889.0
73,4368.0,4596.0,4935.0,4935.0
74,4350.0,4596.0,4932.0,4932.0
75,4184.0,4463.0,4661.0,4661.0
76,4224.0,4464.0,4875.0,4875.0
77,4424.0,4619.0,4976.0,4976.0
78,4263.0,4512.0,4695.0,4695.0
79,4127.0,4391.0,4631.0,4631.0
80,4317.0,4614.0,4923.0,4923.0
81,4307.0,4577.0,4913.0,4913.0
82,4290.0,4539.0,4902.0,4902.0
83,4295.0,4502.0,4913.0,4913.0
84,4242.0,4527.0,4881.0,4881.0
85,4157.0,4424.0,4637.0,4637.0
86,4285.0,4510.0,4702.0,4702.0
87,4238.0,4490.0,4679.0,4679.0
88,4263.0,4587.0,4896.0,4896.0
89,4271.0,4538.0,4904.0,4904.0
90,4378.0,4639.0,4948.0,4948.0
91,4360.0,4549.0,4930.0,4930.0
92,4440.0,4644.0,4980.0,4980.0
93,4310.0,4532.0,4913.0,4913.0
94,4275.0,4551.0,4902.0,4902.0
95,4333.0,4636.0,4927.0,4927.0
96,4336.0,4633.0,4927.0,4927.0
97,4330.0,4567.0,4924.0,4924.0
98,4339.0,4546.0,4930.0,4930.0
99,4280.0,4559.0,4892.0,4892.0
100,4270.4,4531.04,4824.59,4824.59
