,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,554.0,581.0,611.0,611.0
1,552.0,567.0,612.0,612.0
2,567.0,576.0,615.0,615.0
3,494.0,539.0,581.0,581.0
4,508.0,523.0,559.0,559.0
5,517.0,541.0,559.0,559.0
6,589.0,604.0,631.0,631.0
7,521.0,542.0,596.0,596.0
8,556.0,589.0,616.0,616.0
9,554.0,563.0,611.0,611.0
10,589.0,604.0,631.0,631.0
11,528.0,555.0,600.0,600.0
12,509.0,545.0,593.0,593.0
13,538.0,559.0,604.0,604.0
14,590.0,599.0,629.0,629.0
15,524.0,548.0,599.0,599.0
16,573.0,594.0,624.0,624.0
17,488.0,545.0,581.0,581.0
18,531.0,564.0,600.0,600.0
19,549.0,588.0,612.0,612.0
20,595.0,604.0,631.0,631.0
21,553.0,586.0,610.0,610.0
22,543.0,570.0,606.0,606.0
23,510.0,546.0,588.0,588.0
24,541.0,550.0,604.0,604.0
25,463.0,493.0,535.0,535.0
26,461.0,500.0,533.0,533.0
27,430.0,484.0,514.0,514.0
28,529.0,577.0,601.0,601.0
29,498.0,546.0,555.0,555.0
30,508.0,550.0,589.0,589.0
31,577.0,595.0,625.0,625.0
32,563.0,590.0,617.0,617.0
33,571.0,595.0,622.0,622.0
34,548.0,563.0,605.0,605.0
35,485.0,518.0,545.0,545.0
36,479.0,524.0,575.0,575.0
37,562.0,568.0,613.0,613.0
38,554.0,578.0,614.0,614.0
39,591.0,609.0,633.0,633.0
40,546.0,564.0,609.0,609.0
41,598.0,610.0,634.0,634.0
42,526.0,556.0,595.0,595.0
43,584.0,596.0,629.0,629.0
44,539.0,566.0,605.0,605.0
45,535.0,553.0,601.0,601.0
46,517.0,550.0,592.0,592.0
47,571.0,583.0,619.0,619.0
48,546.0,585.0,609.0,609.0
49,575.0,593.0,626.0,626.0
50,528.0,561.0,603.0,603.0
51,570.0,597.0,621.0,621.0
52,516.0,552.0,594.0,594.0
53,539.0,578.0,605.0,605.0
54,549.0,561.0,612.0,612.0
55,565.0,583.0,619.0,619.0
56,563.0,581.0,617.0,617.0
57,527.0,566.0,602.0,602.0
58,570.0,585.0,615.0,615.0
59,525.0,555.0,597.0,597.0
60,468.0,492.0,570.0,570.0
61,534.0,561.0,603.0,603.0
62,571.0,601.0,625.0,625.0
63,564.0,576.0,615.0,615.0
64,516.0,549.0,591.0,591.0
65,528.0,570.0,600.0,600.0
66,517.0,562.0,592.0,592.0
67,588.0,594.0,627.0,627.0
68,557.0,578.0,614.0,614.0
69,561.0,576.0,618.0,618.0
70,549.0,564.0,603.0,603.0
71,555.0,582.0,612.0,612.0
72,432.0,498.0,519.0,519.0
73,521.0,569.0,596.0,596.0
74,552.0,585.0,612.0,612.0
75,563.0,584.0,617.0,617.0
76,584.0,587.0,629.0,629.0
77,486.0,525.0,546.0,546.0
78,496.0,541.0,553.0,553.0
79,462.0,492.0,534.0,534.0
80,508.0,538.0,586.0,586.0
81,539.0,575.0,608.0,608.0
82,472.0,499.0,571.0,571.0
83,488.0,524.0,548.0,548.0
84,507.0,549.0,585.0,585.0
85,567.0,576.0,621.0,621.0
86,499.0,529.0,583.0,583.0
87,527.0,554.0,599.0,599.0
88,440.0,503.0,524.0,524.0
89,559.0,574.0,616.0,616.0
90,540.0,561.0,606.0,606.0
91,540.0,546.0,603.0,603.0
92,572.0,578.0,617.0,617.0
93,574.0,583.0,619.0,619.0
94,573.0,594.0,624.0,624.0
95,565.0,577.0,619.0,619.0
96,579.0,594.0,624.0,624.0
97,594.0,600.0,633.0,633.0
98,483.0,531.0,549.0,549.0
99,543.0,567.0,606.0,606.0
100,536.54,562.85,599.0,599.0
