Unnamed: 0,"sorted,partial,varArith","unsorted,partial,varArith","unsorted,bigSum,varArith",fixed32bit
0,2008.0,2218.0,2329.0,4545.0
1,2134.0,2302.0,2494.0,4518.0
2,2106.0,2226.0,2370.0,4587.0
3,2168.0,2327.0,2504.0,4592.0
4,2187.0,2286.0,2517.0,4505.0
5,2269.0,2368.0,2554.0,4561.0
6,2226.0,2376.0,2535.0,4477.0
7,2160.0,2331.0,2508.0,4561.0
8,2197.0,2320.0,2419.0,4539.0
9,2222.0,2384.0,2537.0,4561.0
10,2125.0,2257.0,2377.0,4558.0
11,2211.0,2340.0,2529.0,4528.0
12,2300.0,2411.0,2579.0,4528.0
13,2246.0,2357.0,2543.0,4553.0
14,2279.0,2429.0,2561.0,4606.0
15,2330.0,2447.0,2594.0,4606.0
16,2330.0,2399.0,2579.0,4551.0
17,2271.0,2388.0,2556.0,4538.0
18,2250.0,2319.0,2550.0,4571.0
19,2346.0,2436.0,2601.0,4606.0
20,2275.0,2389.0,2563.0,4585.0
21,2075.0,2273.0,2354.0,4585.0
22,2230.0,2359.0,2542.0,4627.0
23,2196.0,2361.0,2529.0,4506.0
24,2191.0,2335.0,2524.0,4595.0
25,2239.0,2347.0,2536.0,4564.0
26,2240.0,2372.0,2552.0,4610.0
27,2322.0,2403.0,2589.0,4552.0
28,2230.0,2380.0,2542.0,4562.0
29,2128.0,2302.0,2485.0,4571.0
30,2180.0,2321.0,2516.0,4560.0
31,2160.0,2340.0,2511.0,4563.0
32,2295.0,2415.0,2577.0,4561.0
33,2379.0,2457.0,2619.0,4511.0
34,2304.0,2424.0,2574.0,4598.0
35,2222.0,2360.0,2540.0,4479.0
36,2197.0,2338.0,2521.0,4528.0
37,2268.0,2382.0,2559.0,4561.0
38,2269.0,2359.0,2557.0,4629.0
39,2163.0,2289.0,2400.0,4622.0
40,2322.0,2430.0,2586.0,4576.0
41,2253.0,2391.0,2556.0,4608.0
42,2277.0,2409.0,2568.0,4585.0
43,2341.0,2422.0,2596.0,4577.0
44,2232.0,2367.0,2541.0,4595.0
45,2219.0,2345.0,2534.0,4578.0
46,2252.0,2351.0,2546.0,4562.0
47,2180.0,2321.0,2519.0,4544.0
48,2150.0,2276.0,2393.0,4596.0
49,2198.0,2345.0,2528.0,4563.0
50,2238.0,2334.0,2544.0,4514.0
51,2283.0,2412.0,2571.0,4570.0
52,2179.0,2335.0,2515.0,4517.0
53,2197.0,2335.0,2416.0,4609.0
54,2301.0,2403.0,2574.0,4624.0
55,2190.0,2355.0,2523.0,4566.0
56,2225.0,2345.0,2543.0,4602.0
57,2246.0,2375.0,2549.0,4581.0
58,2169.0,2343.0,2517.0,4533.0
59,2289.0,2394.0,2568.0,4569.0
60,2152.0,2326.0,2509.0,4621.0
61,2168.0,2345.0,2510.0,4600.0
62,2240.0,2390.0,2546.0,4591.0
63,2185.0,2329.0,2521.0,4555.0
64,2095.0,2260.0,2371.0,4594.0
65,2350.0,2467.0,2602.0,4543.0
66,2162.0,2351.0,2510.0,4613.0
67,2276.0,2381.0,2567.0,4605.0
68,2265.0,2379.0,2556.0,4557.0
69,2352.0,2424.0,2598.0,4593.0
70,2151.0,2325.0,2502.0,4538.0
71,2261.0,2405.0,2555.0,4642.0
72,2239.0,2368.0,2539.0,4561.0
73,2247.0,2370.0,2556.0,4544.0
74,2332.0,2392.0,2590.0,4595.0
75,2219.0,2366.0,2537.0,4535.0
76,2151.0,2292.0,2394.0,4597.0
77,2119.0,2251.0,2488.0,4608.0
78,2170.0,2314.0,2515.0,4572.0
79,2265.0,2367.0,2559.0,4550.0
80,2246.0,2369.0,2552.0,4604.0
81,2314.0,2419.0,2578.0,4506.0
82,2161.0,2296.0,2500.0,4528.0
83,2251.0,2359.0,2557.0,4551.0
84,2099.0,2264.0,2372.0,4615.0
85,2145.0,2337.0,2505.0,4573.0
86,2240.0,2366.0,2540.0,4582.0
87,2258.0,2357.0,2549.0,4626.0
88,2128.0,2305.0,2386.0,4595.0
89,2129.0,2312.0,2492.0,4527.0
90,2138.0,2297.0,2498.0,4472.0
91,2338.0,2419.0,2596.0,4594.0
92,2130.0,2298.0,2493.0,4543.0
93,2294.0,2381.0,2573.0,4533.0
94,2261.0,2399.0,2561.0,4597.0
95,2258.0,2393.0,2552.0,4586.0
96,2311.0,2383.0,2581.0,4587.0
97,2336.0,2450.0,2591.0,4616.0
98,2272.0,2371.0,2548.0,4528.0
99,2087.0,2279.0,2363.0,4490.0
100,2224.64,2355.71,2524.25,4567.96
